Epoch,TrainLoss,ValDice
1,445.58940647915006,0.9925041198730469
2,59.22605251893401,0.993725597858429
3,33.142252422403544,0.9936025142669678
4,27.54927300941199,0.9925580620765686
5,24.71311174845323,0.9944369792938232
6,23.79960424802266,0.9949483275413513
7,22.29231111239642,0.9939970970153809
8,22.138447592849843,0.992963433265686
9,20.84543898171978,0.9940043687820435
10,20.39179824310122,0.9925153255462646
11,20.460517306317342,0.9943051338195801
12,19.719687060452998,0.9946296811103821
13,19.41215984983137,0.9943336248397827
14,19.111747985793045,0.9918069839477539
15,18.711093524034368,0.9946948289871216
16,18.296561464609113,0.9948267936706543
