Epoch,TrainLoss,ValDice
1,396.3699735868722,0.9922610521316528
2,55.026911394204944,0.9938181638717651
3,34.819325506919995,0.9893290996551514
4,28.403541713953018,0.9931288957595825
5,26.291660746443085,0.9916471242904663
6,23.81143649603473,0.9895333647727966
7,23.410895457142033,0.9928047060966492
8,21.953072695352603,0.9939548373222351
9,21.388412870495813,0.9927837252616882
10,20.77208609841182,0.9930167198181152
11,20.15352128984523,0.9939113259315491
12,19.98865027539432,0.9927701354026794
13,19.643832571338862,0.9882228374481201
14,19.043623864650726,0.9913268685340881
15,18.642897813639138,0.9925330877304077
16,18.58584598574089,0.9942737817764282
17,18.682409243338043,0.9927601218223572
18,17.584601578564616,0.9935069680213928
19,17.721352818218293,0.9944161176681519
20,17.050884415453766,0.9942250847816467
21,16.92284108430613,0.9855250716209412
22,16.403893433802295,0.9937878251075745
23,15.945849986135727,0.9932262897491455
24,15.826072393596405,0.9949106574058533
25,15.341771623294335,0.9938715696334839
26,15.33580201784207,0.9924758672714233
27,15.030872710427502,0.9896370768547058
28,15.218238432629732,0.9931824207305908
29,14.505979600711726,0.9950224161148071
30,14.480071184487315,0.9922235012054443
31,14.422943825062248,0.9950466752052307
32,14.1294089594885,0.9896796941757202
33,14.457482747151516,0.9919334053993225
34,13.886265006411122,0.9946869015693665
35,13.888525166767067,0.9900860786437988
36,13.550323691932135,0.9899742007255554
37,13.387915008934215,0.9901053309440613
38,13.270134958482231,0.9914160370826721
39,13.189120354916668,0.9946579933166504
40,13.140813119098311,0.9924836754798889
41,12.937173793514376,0.9714891314506531
